Name,Daraz Mall,Original Price, Discounted Price,Discount Rate,Rating,Reviews,Seller Country,Free Delivery
Ps4 Need For Speed Heat Standard Edition PS4 Games Playstation 4 Games,No,"4,850",4850,0%,5.0,9,Not Mentioned,No
Minecraft PS4,No,"8,200",8200,0%,4.0,2,Not Mentioned,No
Ps4 Tom Clancy'S Ghost Recon Breakpoint Standard Edition PS4 Games Playstation 4 Games,No,"3,800",3800,0%,5.0,15,Not Mentioned,No
PLAYSTATION 4 DVD NEED FOR SPEED HEAT PS4 GAME,No,"4,999",4999,0%,5.0,1,Not Mentioned,No
Final Fantasy X Game for PlayStation 2 - Modified System,No,750,375,50%,0.0,0,Free Shipping,Yes
Ps4 Team Sonic Racing PS4 Games PlayStation 4 Games,No,"5,500",5500,0%,5.0,4,Not Mentioned,No
Ben 10 Alien Force: Vilgax Attacks - PlayStation 2 / PS2 J-Break Modified System Game,No,211,211,0%,0.0,0,Pakistan,No
Ben 10 Ultimate Alien Cosmic Destruction - PS2 - Modified System,No,350,350,0%,5.0,3,Not Mentioned,Yes
Haunting Ground Game for PlayStation 2 - Modified System,No,750,375,50%,0.0,0,Free Shipping,Yes
Marvel's Spider-Man: Game of The Year Edition Playstation 4 - Ps4 Games,No,"9,999",8999,10%,5.0,17,Not Mentioned,No
Elden Ring Ps4 Game PlayStation 4,No,"10,400",9499,9%,5.0,2,Not Mentioned,No
PS4 Resident Evil 4 Remake,No,"13,700",13700,0%,0.0,0,Pakistan,No
God of War Ragnarok PS5,No,"16,300",16300,0%,5.0,1,Not Mentioned,No
Forbidden Siren Game for PlayStation 2 - Modified System,No,750,375,50%,0.0,0,Free Shipping,Yes
PLAYSTATION 4 DVD SONIC FORCES PS4 GAME,No,"5,699",5699,0%,0.0,0,Pakistan,No
Ps4 Naruto Shippuden Ultimate Ninja Storm 4 Road to Boruto PS4 Games Playstation 4 Games,No,"5,050",5050,0%,5.0,8,Not Mentioned,No
PS4 Hogwarts Legacy  Play Station  4 Game,No,"13,900",13900,0%,5.0,2,Not Mentioned,No
Ps4 Uncharted The Nathan Drake Collection PS4 Games Playstation 4 Games,No,"5,300",5300,0%,4.8,13,Not Mentioned,No
Need For Speed_Heat Playstation 4 - Ps4 Game,No,"5,700",5700,0%,3.0,2,Not Mentioned,No
Street Fighter V PS4 PS5 Street Fighter V,No,"5,900",5900,0%,5.0,3,Not Mentioned,No
Dragon ball Xenoverse 2 - PS4,No,"5,299",5299,0%,5.0,1,Not Mentioned,Yes
Watch Dogs 2 PS4 USED GAME,No,"3,000",3000,0%,0.0,0,Pakistan,No
LAST OF US 2 PS4 GAME,No,"6,400",6400,0%,5.0,9,Not Mentioned,No
Hogwarts Legacy PS5,No,"14,300",14300,0%,5.0,1,Not Mentioned,No
Assassin's_Creed Revelations (PS3),No,"5,999",2750,54%,5.0,1,Not Mentioned,No
PS4 Days Gone - Playstation 4 Days Gone,No,"4,300",4300,0%,5.0,1,Not Mentioned,No
PLAYSTATION 4 DVD GHOST OF TSUSHIMA PS4 GAME,No,"6,399",6399,0%,0.0,0,Pakistan,No
PS5 Resident Evil 4 Remake,No,"14,200",14200,0%,5.0,3,Not Mentioned,No
Ps4 Death Stranding PS4 Games PlayStation 4 Games,No,"3,700",3700,0%,5.0,2,Not Mentioned,No
PLAYSTATION 4 DVD HELLO NEIGHBOR 2 PS4 GAME,No,"9,999",8999,10%,5.0,1,Not Mentioned,No
"PS4 UNCHARTED 4 ,THIEF END",No,"2,399",2399,0%,5.0,1,Not Mentioned,No
Ps4 Assassin's_Creed Odyssesy Standard Edition PS4 Games PlayStation 4 Games,No,"5,400",5400,0%,5.0,4,Not Mentioned,No
Peter Jackson's King Kong - PlayStation 2 / PS2 J-Break Modified System Game,No,201,201,0%,0.0,0,Pakistan,No
PS4 Sleeping Dogs Definitive Edition,No,"3,500",3500,0%,0.0,0,Pakistan,No
LEGO_ Marvel Collection PS4 DVD,No,"5,800",5800,0%,5.0,5,Not Mentioned,No
Dragon Ball Z: Budokai 3 - PlayStation 2 / PS2 J-Break Modified System Game,No,201,201,0%,0.0,0,Pakistan,No
Tom Clancy's Ghost Recon Breakpoint PS4,No,"3,500",3500,0%,5.0,1,Not Mentioned,No
Ben 10 Power Trip Playstation 4 - Ps4 Game,No,"6,900",5650,18%,0.0,0,Pakistan,No
Need For Speed_Heat Playstation 4 - Ps4 Games,No,"4,899",4899,0%,0.0,0,Free Shipping,Yes
Street Fighter V Champion Edition Playstation 4 - Ps4 Game,No,"6,900",5749,17%,0.0,0,Pakistan,No
